testId,1,2,3,timeSpent,uid
76536,,1,20,20,1b48bc332adea88d3dc7
76571,2,,40,19,14681796751dee16b0c0
76595,2,,30,20,471d5f86f8c323c1a92e
76617,,2,6,36,facbd0a03479a10dedc5
76652,1,,90,37,c17516bd848bc473da56
76695,2,,54,68,feea6219de12ccbccedd
76706,2,,50,30,22b6a8f4b8480bf535fd
76813,2,,50,53,036cd22afeffb079ab3c
76828,1,,120,13,474bf494cc2862d09043
76843,1,,100,24,4f4361f64aa2c33b2e69
76857,,1,16,30,61c558fd40e63d897ae0
76859,,1,20,10,1b48bc332adea88d3dc7
76877,1,,100,18,3d7b01c1b702c8c439e7
76924,,2,0,11,7eff56ecfbe19d8db2b3
76965,2,,1,11,14fc8690a5502ba387e2
77046,,1,13,10,67efa95283df21e77d94
77118,2,,27,22,ac9ce46f28578a9e74a8
77113,2,,35,26,e8db074432b497daff91
77130,2,,56,30,c051ed1b4358c2704fd9
77143,2,,45,15,61ff56b129b8a62574bf
77154,,1,35,17,c051ed1b4358c2704fd9
77164,2,,54,26,527d91320bf4b7460b28
77202,2,,10,23,8b1b7f204a0f052dfd2c
77214,,1,50,28,90c9b8e5da32189b9da7
77243,2,,2,14,fe4ccf133d2e5818095f
77266,2,,50,40,1a1d896fa3c2fc05aa28
77283,,1,56,17,036cd22afeffb079ab3c
77297,,1,15,12,ac253ffc84d829de35b3
77349,,1,53,33,527d91320bf4b7460b28
77407,,1,30,13,0c77107ed457ce58e270
77463,2,,25,25,58461bb326d4686e277a
77506,2,,20,20,a0d120402dd2f4043057
77561,,1,15,35,c5794340c46e1daff9ee
77596,,1,30,10,b6ef2d069b7616510f12
77606,2,,43,24,111b872ebede0068c320
77623,,2,3,11,14fc8690a5502ba387e2
77678,,1,50,28,955814bc3b50bebc57b9
77684,2,,0,15,2bb35ea2939bc63c0820
77691,2,,0,10,e1d4e0b9d6be2f01ba67
77714,,2,1,10,2bb35ea2939bc63c0820
74895,,,,1,a9e55def2cd9df4a96b4
77742,2,,5,27,e1d4e0b9d6be2f01ba67
77863,2,,50,16,1bec5f3a45b3b6a4a543
77882,2,,54,7,7c8bdbe267c267e97022
77891,,1,40,16,95a78560a485003d8871
78035,,1,34,21,3871f6cebab7cfe1efa1
78315,2,,30,33,6f32f626f5df65839620
78335,2,,32,21,712d3415fc8dec7ad66f
78492,1,,80,28,64ee3492757e64b0ca28
78477,2,,40,17,047053a479df7a748ab2
78672,2,,15,20,daeb8a598a6537688002
78741,,2,10,45,712d3415fc8dec7ad66f
78819,,1,20,22,8cafbc172fb1ad1f8b91
78885,1,,66,13,5870f03a14ce993206b2
79065,2,,50,12,e631aee8213d6e9eb793
79081,2,,30,25,f456722d91f66e641751
79200,,1,24,37,b63008ea9c39ef7c7a0f
79485,,1,40,10,0c67c10dc767bbf2241d
79527,2,,34,41,82b1ad2fdde732d9a518
79521,2,,30,31,7705be00367b46c0ce1c
79691,2,,30,32,2c4890db386c704cd6b4
79919,,1,14,17,77a1aa3e4014b5c16165
80020,,2,8,13,cc5cd226d565c72e3f93
80160,1,,70,12,07832632bb41452a59cb
80192,,1,13,12,5870f03a14ce993206b2
80182,,1,54,26,878f94c55f062dfc3127
80239,,2,5,24,1ead1e80e8bc293a8bf8
80260,,1,23,15,5ec2b303f7c0e48886cb
80318,2,,20,36,3ae9a0e4d745775598dd
80441,,1,,82,218f0bed8a8f7c7af4d4
80452,2,,20,25,6ba03fd26901dc198ffa
80524,,2,3,22,464c043903703ec2049a
80611,,1,52,30,9c455bcd89ddd633ff80
80609,2,,50,50,2acb9c4edc705b2081e6
80915,2,,20,20,218f0bed8a8f7c7af4d4
80918,,1,15,29,0a4d12396aeb0b3e249e
81108,,,,37,8f79010285881a32b631
81200,2,,52,19,a00609f8a69083ca6c76
81357,2,,25,33,899d7c9602f51f80eadc
81665,,1,,11,1dd5df021d469adeccaf
81639,2,,15,50,922b97c22a4042616ef8
81802,,2,10,74,36e9b2042f2cf6f4d3e8
81861,,1,20,72,61a739bfa5100d02985e
81920,2,,50,13,36e9b2042f2cf6f4d3e8
82071,,1,20,27,47818b7fb11fbe92ce42
82120,2,,24,14,782a4b1b604b8691d383
82173,,1,26,15,6e04781b96c79313bb76
82255,2,,,14,98b2541811d342871d4e
82550,1,,80,24,8f950808729e43e7dfa4
82620,2,,10,25,179125af67c1abc80851
82663,,2,4,17,a7ef326e776411f35592
82670,,2,8,12,a26a8f0da71a14cfc922
82681,2,,45,14,6af46aac8c125094feb3
82781,2,,10,78,4d94c745b9c69b4f8d5e
82815,,1,15,14,2c5f3016caa1a9a978af
82912,,1,17,9,b2e9673476827cd3cb36
83010,,1,12,21,0ae59414803d83c6fb1f
83027,,2,10,22,e1144a59d74ed78d37fc
83058,2,,54,21,462db9d5e0d86f6f33dc
83394,,1,20,19,dd82329f80d2f12f84c7
83426,2,,60,32,638473b403a6d0b701de
83897,,1,50,40,55f6bc53bdd9d9b8aa64
83972,1,,125,23,697cd11080aad6a3e083
83988,2,,53,65,4002e5cae4d76ac33398
84075,2,,40,97,6390e8dcc05037743a81
84105,,1,15,12,daeb8a598a6537688002
84117,,1,35,19,d1550c8fe4222cdf35db
84182,2,,23,16,00dc2d5b0c1271090876
84267,2,,50,20,9d1af9688dd3ffbd2a91
84271,2,,0,22,e06a11d3f0afb9a53e3b
84312,,2,20,9,9d1af9688dd3ffbd2a91
84315,,1,20,112,14c6d8fed9e84dc0ef6f
84689,2,,15,9,6e84d6fa0af9a10c803a
84695,,1,54,27,19788631496e9405abee
84737,,1,35,32,f3867321a6695be67713
84811,,1,45,23,11ff4b03931eca91e01c
84856,,1,30,20,9f32c27563945a0f58e4
84858,,1,20,16,273f325f22f61f48305e
84974,2,,4,31,b66b76fccda689d080df
85013,,1,24,7,273f325f22f61f48305e
85043,1,,70,19,e45bbb6ccc237f086355
85056,,2,11,55,4a1d5cefe12d9dceddc1
85085,,2,6,13,b66b76fccda689d080df
85161,2,,46,23,5eef0eb8fdabbb9158b7
85203,,1,50,58,b2df519881c63a2d2a72
85228,1,,70,49,2490182bc28f6ca0a76a
85275,2,,59,16,625ef2c9227c0bfa9e19
85082,,2,6,28,1f71f5e066e555bc970e
85312,,1,15,15,eeaa6bf928c0d83f356d
85324,2,,59,7,625ef2c9227c0bfa9e19
85319,,1,30,16,225b0f607dd850053294
85419,2,,50,28,af95a6f1fdb1d5ea2e47
85646,2,,1,14,66ba858f5b70d7a073e0
85648,,2,1,7,66ba858f5b70d7a073e0
85793,1,,80,16,330c38a8371db1efedf1
85961,2,,,10,3f08240d0019069c4463
85975,,2,7,30,8d980d121408935f5e8e
86044,2,,4,16,8871d24b830ae11e6f06
86034,1,,,589,3f08240d0019069c4463
86084,,1,20,23,65e110621a9c9aa3d353
86167,2,,,10,94f640462c5aaf57c5a6
86199,,1,45,15,5f185033a5812733a278
86366,2,,,9,c5404febd4bc7e29fc92
86367,,1,35,13,fc26a39e59508ad25bc2
86391,,1,50,27,477dcd962fa2b218d3fb
86492,,1,20,18,a9a5c27e2a38879f3ff8
86530,2,,54,49,60a7b30b23a64f25769f
86536,,2,6,14,43d6e63190de87b442d5
86766,,1,50,20,c53e31707e98625cf105
86810,,2,7,21,504d26dea6cfcc759653
86854,,1,25,20,bdcf485de4f3797532b4
86938,2,,55,38,7027e1e407686fa7e6ab
87176,2,,5,28,e3342a7dc00a46dce9dd
75294,,,,499,0d51187694788a75e24b
87294,2,,62,16,bbe8658e15a25ad39830
87296,2,,10,16,a4bbf04397ebeda101b1
87339,1,,68,16,8a56d06e7e7bd0005b9c
87389,,2,15,11,bcfcdd061d9c59181fab
87459,1,,70,14,a6db26aa0013053c8e46
87540,1,,80,61,037c0e55cd69e9f67cf4
87786,2,,,17,127a2f8bfa5f443d73ef
87796,2,,45,27,e24d4d97d1d159f71aff
88014,,1,16,19,e3f59e38fc4c0e45a7ed
88018,2,,50,14,b18dfd86956b4ed925e8
88193,2,,64,21,991bc0da362e0d7e5bfa
88201,,1,20,11,2866635bae5f52ac69ee
88236,,1,13,24,62e00bede96cd71f1afd
88267,,1,25,18,7846aca7245c1cb1b891
88283,,1,20,17,ea7f949a6b3ac9676e7e
88324,,1,25,11,5f6a17ad4a50647dee44
88342,1,,70,22,c0164d1f255d2d42fb6c
