testId,1,2,timeSpent,uid
82620,,2,51,179125af67c1abc80851
82663,1,,34,a7ef326e776411f35592
82670,,2,19,a26a8f0da71a14cfc922
82681,,2,30,6af46aac8c125094feb3
82781,2,,228,4d94c745b9c69b4f8d5e
82815,,1,32,2c5f3016caa1a9a978af
82912,1,,25,b2e9673476827cd3cb36
83010,,2,34,0ae59414803d83c6fb1f
83027,2,,25,e1144a59d74ed78d37fc
83058,2,,35,462db9d5e0d86f6f33dc
83394,2,,37,dd82329f80d2f12f84c7
83426,,1,59,638473b403a6d0b701de
83972,1,,34,697cd11080aad6a3e083
83988,1,,45,4002e5cae4d76ac33398
84075,2,,77,6390e8dcc05037743a81
84105,2,,16,daeb8a598a6537688002
84117,1,,20,d1550c8fe4222cdf35db
84182,2,,28,00dc2d5b0c1271090876
84267,2,,19,9d1af9688dd3ffbd2a91
84271,2,,27,e06a11d3f0afb9a53e3b
84315,,2,18,14c6d8fed9e84dc0ef6f
84312,,2,4,9d1af9688dd3ffbd2a91
84689,1,,37,6e84d6fa0af9a10c803a
84695,,2,21,19788631496e9405abee
84737,1,,254,f3867321a6695be67713
84811,1,,34,11ff4b03931eca91e01c
84858,,2,13,273f325f22f61f48305e
84856,1,,24,9f32c27563945a0f58e4
84888,,1,15,c0f123599062b3e4c5aa
84974,1,,23,b66b76fccda689d080df
85013,2,,6,273f325f22f61f48305e
85040,1,,55,927c1877af44b0218ac3
85056,,2,6,4a1d5cefe12d9dceddc1
85075,1,,55,4a8d55c49badcd3055b1
85085,,1,5,b66b76fccda689d080df
85161,2,,28,5eef0eb8fdabbb9158b7
85203,1,,41,b2df519881c63a2d2a72
85228,,2,139,2490182bc28f6ca0a76a
85275,,1,21,625ef2c9227c0bfa9e19
85082,,1,22,1f71f5e066e555bc970e
85312,1,,59,eeaa6bf928c0d83f356d
85324,,2,9,625ef2c9227c0bfa9e19
85319,1,,27,225b0f607dd850053294
85408,1,,40,02f99de69869ae4fd191
85419,1,,18,af95a6f1fdb1d5ea2e47
85646,2,,26,66ba858f5b70d7a073e0
85648,1,,8,66ba858f5b70d7a073e0
85793,1,,32,330c38a8371db1efedf1
85965,,2,10,22b6a8f4b8480bf535fd
85975,2,,56,8d980d121408935f5e8e
86034,,2,187,3f08240d0019069c4463
86044,1,,24,8871d24b830ae11e6f06
86084,,1,43,65e110621a9c9aa3d353
86167,,1,20,94f640462c5aaf57c5a6
86199,,1,49,5f185033a5812733a278
86367,2,,31,fc26a39e59508ad25bc2
86366,,1,87,c5404febd4bc7e29fc92
86391,,1,34,477dcd962fa2b218d3fb
86492,1,,29,a9a5c27e2a38879f3ff8
86536,,1,23,43d6e63190de87b442d5
86530,1,,42,60a7b30b23a64f25769f
