testId,1,2,3,timeSpent,uid,ineligible
75146,,1,5280,16,791a742e553ba220504e,0
75184,,2,400,33,df8bbd50eb541e40c5a1,0
75281,,2,850,376,0d51187694788a75e24b,0
75283,1,,,6,4400968fe917a17e9adf,1
75319,1,,500,9,0f4a3af9b29781e480a7,0
75370,,1,5000,89,3793ac04dd7c95a048e4,0
75393,,1,2000,14,dd6051586facd6feb653,0
75610,1,,100,16,cec06aad7059d3554e4a,0
75660,1,,100,18,b59e901f0b18d16fb680,0
75750,,2,100,25,8b4a232bc29b33689273,0
75770,,1,1500,28,46c9647a0d12a677379d,0
75883,1,,100,22,65c7352aa286638b380e,0
75909,1,,150,13,5208cc0535cdc11683bd,0
75938,1,,125,24,830c0d50e584312076af,0
75987,1,,300,33,001e224a847750ec3d3b,0
76020,,1,2500,18,aa1580df27a34c9c67ff,0
76021,1,,105,16,4bc9da834318df9bbfe2,0
76054,,1,1300,22,46c9647a0d12a677379d,1
76055,2,,85,26,92952adf02e2ae28bf25,1
76088,1,,120,22,698464d5e720ecc6f7cb,0
76125,,1,1100,13,ec823742e5032813d8e4,0
76149,,2,950,32,c24fbca43ed0c108eb82,0
76228,,2,650,18,2890298ec53ff6ddab1a,0
76242,1,,100,18,d18faff80a49b123303c,0
76299,1,,238,116,b7c263c83e668cda3882,0
76307,1,,112,13,ff9c43e64a9db8edff8f,0
76317,,2,900,26,7c8bdbe267c267e97022,0
76366,1,,125,20,af95a6f1fdb1d5ea2e47,0
76367,1,,185,36,23416ba818ea0382d9cb,0
76402,1,,200,16,0f21ee310c0ec4b7a801,0
76418,,2,250,35,9bae83ec357d2b8a4f5c,0
76446,,2,897,15,a1c06b380c863fbe996a,0
76488,1,,239,46,62818b3baff7075e5c62,0
76501,,2,345,10,62818b3baff7075e5c62,1
76521,1,,300,44,3fee5e414ac6db7ed7ac,0
76536,,2,500,26,1b48bc332adea88d3dc7,0
76571,,2,800,12,14681796751dee16b0c0,0
76595,1,,90,25,471d5f86f8c323c1a92e,0
76617,,2,500,36,facbd0a03479a10dedc5,0
76652,2,,70,32,c17516bd848bc473da56,0
76695,,1,1000,47,feea6219de12ccbccedd,1
76706,,2,400,36,22b6a8f4b8480bf535fd,0
76813,1,,160,30,036cd22afeffb079ab3c,0
76828,2,,80,11,474bf494cc2862d09043,0
76843,1,,200,16,4f4361f64aa2c33b2e69,0
76857,1,,120,31,61c558fd40e63d897ae0,0
76859,1,,300,13,1b48bc332adea88d3dc7,1
76877,,2,800,46,3d7b01c1b702c8c439e7,0
76893,1,,40,17,14fc8690a5502ba387e2,1
76924,1,,110,27,7eff56ecfbe19d8db2b3,0
76965,,2,40,12,14fc8690a5502ba387e2,1
77046,1,,12,48,67efa95283df21e77d94,1
