gameid,person,condition,avg_user_choices,avg_bot_choices,gender,age,device
90485,7eefb7290f5b1ea61090,testify,1.0,0.59999999999999998,,,
90575,c8088a1b80f98122fca4,notTestify,0.7142857142857143,0.2857142857142857,,,
90634,a23b30bbea3406ad8484,testify,1.0,0.8571428571428571,,,
90648,69ce890dd64c1ad8c6f0,testify,1.0,0.5,,,
90703,69ce890dd64c1ad8c6f0,notTestify,0.14285714285714285,0.42857142857142855,,,
90843,ea51e609013604aafa8a,notTestify,1.0,0.25,,,
90934,f1a82d379e39991f37f4,leanNot,1.0,0.80000000000000004,,,
90944,f1a82d379e39991f37f4,leanNot,1.0,1.0,,,
90949,020d8c0e78a87ba5cc11,leanNot,1.0,0.59999999999999998,,,
91101,c5597163e3f175430a1c,leanNot,0.25,0.5,,,
91365,a1be5ccc0cd879b9a7e3,leanNot,0.66666666666666663,0.66666666666666663,,,
91376,a1be5ccc0cd879b9a7e3,testify,1.0,0.80000000000000004,,,
91380,66657c65bda31ed7f9d3,notTestify,0.5,0.33333333333333331,,,
91383,a1be5ccc0cd879b9a7e3,testify,0.16666666666666666,0.5,,,
91390,a1be5ccc0cd879b9a7e3,notTestify,0.0,0.59999999999999998,,,
91405,2a30a0fc740cf6977c2e,leanNot,0.33333333333333331,0.5,,,
91410,a6b654783c6579f8b744,notTestify,0.75,0.25,,,
91412,66657c65bda31ed7f9d3,notTestify,0.80000000000000004,0.59999999999999998,,,
91415,2a30a0fc740cf6977c2e,testify,0.59999999999999998,0.20000000000000001,,,
91416,a6b654783c6579f8b744,leanNot,1.0,1.0,,,
91417,66657c65bda31ed7f9d3,leanNot,1.0,0.0,,,
91418,a6b654783c6579f8b744,testify,0.875,0.5,,,
91422,66657c65bda31ed7f9d3,leanNot,1.0,1.0,,,
91427,66657c65bda31ed7f9d3,testify,1.0,0.59999999999999998,,,
91429,a6b654783c6579f8b744,testify,1.0,0.75,,,
91430,66657c65bda31ed7f9d3,testify,1.0,0.5,,,
91432,66657c65bda31ed7f9d3,testify,1.0,0.75,,,
91438,66657c65bda31ed7f9d3,leanNot,1.0,0.33333333333333331,,,
91439,fae6813d659491d1deb4,testify,0.0,1.0,,,
91442,66657c65bda31ed7f9d3,testify,1.0,1.0,,,
91498,5ccf734386f6744e2169,leanNot,0.75,0.75,,,
91500,800cb64cc6bd6ee9ae24,notTestify,0.0,0.20000000000000001,,,
91505,5ccf734386f6744e2169,testify,1.0,0.33333333333333331,,,
91508,5ccf734386f6744e2169,notTestify,0.875,0.75,,,
91513,5ccf734386f6744e2169,leanNot,1.0,0.66666666666666663,,,
91521,5ccf734386f6744e2169,leanNot,0.8571428571428571,0.2857142857142857,,,
91524,5ccf734386f6744e2169,notTestify,0.75,0.25,,,
91635,0b213d0de8fa9d627bcd,notTestify,0.33333333333333331,1.0,,,
91692,d822960b5ead901bf154,notTestify,0.33333333333333331,0.0,,,
91708,113fa604efa19f29f159,testify,0.7142857142857143,0.5714285714285714,,,
91714,d6ed130c160bdd7ccb16,testify,1.0,0.625,,,
91741,766fa8c20d9616077f90,notTestify,0.42857142857142855,0.5714285714285714,,,
91923,5e6e086239f3b89c973c,notTestify,0.7142857142857143,0.42857142857142855,,,
91967,61dd37e0f6f5f369cd55,testify,0.0,0.625,,,
91985,de5e216986636ab17e08,testify,1.0,0.40000000000000002,,,
92052,306f6009a8022cad86bb,notTestify,1.0,0.80000000000000004,,,
92070,306f6009a8022cad86bb,testify,1.0,0.20000000000000001,,,
92220,2b27e713b7b9f00de6d7,notTestify,0.0,0.5,,,
92221,343c828af7670380be13,leanNot,0.40000000000000002,0.40000000000000002,,,
92250,4d7ca71ded159d4fd17f,leanNot,0.7142857142857143,0.5714285714285714,,,
92264,3d7d4901cd15287242bf,notTestify,0.0,0.0,,,
92270,ee36511416d3eeeb6045,testify,1.0,0.66666666666666663,,,
92360,0495224788d39ffa0ce9,testify,0.125,0.25,,,
92388,1c8e2c03b571fa7b0536,notTestify,0.5,0.25,,,
92431,e9589c9e7be95d351f56,leanNot,0.75,0.25,,,
92449,705aab24059051f3014f,notTestify,0.25,0.0,,,
92462,beaba401ba3934d464a7,testify,1.0,0.33333333333333331,,,
92514,2a08c494db5dc20d101d,leanNot,0.42857142857142855,0.5714285714285714,,,
92896,ae5ab28bccf3c738acea,testify,0.66666666666666663,0.66666666666666663,,,
93004,39e41039f2efd96eb013,testify,1.0,0.75,,,
93039,bc70104b23edcf096d49,notTestify,0.7142857142857143,0.5714285714285714,,,
93113,a072edb4d23a50528bbf,testify,0.42857142857142855,0.42857142857142855,,,
93354,e00552d2e8ad705ba249,testify,1.0,0.66666666666666663,,,
93358,e00552d2e8ad705ba249,leanNot,1.0,0.25,,,
93547,fa5373a0ba844eeca758,testify,0.0,0.16666666666666666,,,
93669,40fc8864dd8ad8b19609,notTestify,0.0,0.5714285714285714,,,
93754,c7c8624d927399a3f364,leanNot,0.5,0.25,,,
93798,903cdb7f5fbd1b34193b,leanNot,0.0,0.16666666666666666,,,
93819,fdd8eea94dad8844dcb6,leanNot,0.0,0.33333333333333331,,,
93876,9dbf345693a2b5de55fa,leanNot,0.80000000000000004,0.40000000000000002,,,
93968,8c87a0227b4198cf31c2,leanNot,0.75,0.75,,,
94072,e00552d2e8ad705ba249,leanNot,1.0,0.5,,,
94097,8fda2765a404aab9ee93,testify,1.0,0.5714285714285714,,,
94115,dd1fdbb0db541d31d877,notTestify,0.5714285714285714,0.2857142857142857,,,
94525,3d21d8317be86aff9160,testify,0.0,1.0,,,
94567,96b05b82119d0e484b27,testify,0.0,0.33333333333333331,,,
94678,187fb5fc7e89d03734af,leanNot,0.75,0.75,,,
94874,d4910a5dd8e53386a3b0,testify,1.0,0.59999999999999998,,,
95023,24942da67fd2632af3e4,testify,1.0,0.16666666666666666,,,
95052,ce68d518ae2283943075,testify,1.0,0.75,,,
95135,d6b2166235e3dd974a3a,testify,1.0,0.66666666666666663,,,
95285,5d148138b24718b38bd3,notTestify,0.33333333333333331,0.33333333333333331,,,
95302,ec5dc87eefba8178c5e4,leanNot,1.0,0.5,,,
95328,f228455eda050dcb9cf4,leanNot,0.5714285714285714,0.5714285714285714,,,
95409,c2444daa66f1054681b7,notTestify,0.0,0.80000000000000004,,,
