gameid,uid,age,gender,device,round,reactTime,nonword,justiceWord,correct,NumChars,accuracy,rounds,chain
73729,9bba2b2565c516624bb7,3,0,1,105,1170,0,0,1,6,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,106,835,1,0,1,7,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,107,1043,0,1,1,5,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,108,988,0,0,0,7,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,109,741,1,0,0,9,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,110,1203,0,1,1,10,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,111,602,0,0,1,5,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,112,492,1,0,0,7,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,113,494,0,0,1,7,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,114,748,1,0,1,8,0.733333333333,15.0,464
73729,9bba2b2565c516624bb7,3,0,1,115,615,0,0,1,5,0.733333333333,15.0,464
73735,b4211abe38812cefe995,3,1,1,101,1385,0,0,1,7,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,102,1333,0,0,1,7,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,103,690,1,0,1,6,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,104,1150,0,1,1,4,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,105,1150,0,1,1,9,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,106,778,1,0,1,6,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,107,880,0,0,1,7,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,108,988,1,0,1,4,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,109,801,0,1,0,4,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,110,1550,0,0,1,6,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,111,877,0,0,1,6,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,112,866,0,1,1,9,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,113,2089,1,0,1,7,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,114,988,0,1,1,4,0.933333333333,15.0,204
73735,b4211abe38812cefe995,3,1,1,115,724,1,0,1,6,0.933333333333,15.0,204
73763,8da30b1ecf285ec0fe17,4,1,1,101,678,1,0,1,6,0.866666666667,15.0,
